Feature,Mean_SHAP
duration,0.20027475672158923
lazarus,0.04366552997266055
formation_breadth,0.04258855308568377
collection_count,0.03331440736857295
occurrence_count,0.03278620700503801
lat_range,0.03215202917930953
sampling_intensity,0.02839996360348335
lng_range,0.028332882379697135
environment_breadth,0.009849406218539084
