Model,Accuracy,ROC_AUC
Logistic_Naive,0.7623762376237624,0.8666304741223309
RandomForest_Naive,0.7207920792079208,0.820287566215905
Logistic_Corrected,0.7821782178217822,0.8913894646793669
RandomForest_Corrected,0.7287128712871287,0.826423847596486
