accepted_name,early_interval,late_interval,collection_no,environment,formation,lat,lng,max_ma,min_ma
Marginalosia planata,Changhsingian,,7204,,Stephens,-41.299999,173.266663,254.14,251.902
Terrakea,Changhsingian,,7204,,Stephens,-41.299999,173.266663,254.14,251.902
Spiriferella,Changhsingian,,7204,,Stephens,-41.299999,173.266663,254.14,251.902
Martinia,Changhsingian,,7204,,Stephens,-41.299999,173.266663,254.14,251.902
Tomiopsis,Changhsingian,,7204,,Stephens,-41.299999,173.266663,254.14,251.902
Tomiopsis,Changhsingian,,7204,,Stephens,-41.299999,173.266663,254.14,251.902
Tomiopsis,Changhsingian,,7204,,Stephens,-41.299999,173.266663,254.14,251.902
Notospirifer,Changhsingian,,7204,,Stephens,-41.299999,173.266663,254.14,251.902
Maorielasma,Changhsingian,,7204,,Stephens,-41.299999,173.266663,254.14,251.902
Wairakiella rostrata,Changhsingian,,7276,,,-45.5,168.5,254.14,251.902
Amygdalocosta rara,Changhsingian,,7276,,,-45.5,168.5,254.14,251.902
Labaia,Changhsingian,,7276,,,-45.5,168.5,254.14,251.902
Tomiopsis,Changhsingian,,7276,,,-45.5,168.5,254.14,251.902
Notospirifer,Changhsingian,,7276,,,-45.5,168.5,254.14,251.902
Martiniopsis patella,Changhsingian,,7276,,,-45.5,168.5,254.14,251.902
Maorielasma,Changhsingian,,7276,,,-45.5,168.5,254.14,251.902
Acosarina,Changhsingian,,8103,marine indet.,Huai Tak,18.620001,99.839996,254.14,251.902
Martiniopsis,Changhsingian,,8103,marine indet.,Huai Tak,18.620001,99.839996,254.14,251.902
Dielasma,Changhsingian,,8103,marine indet.,Huai Tak,18.620001,99.839996,254.14,251.902
Leptodus,Changhsingian,,8103,marine indet.,Huai Tak,18.620001,99.839996,254.14,251.902
Neospirifer,Changhsingian,,8103,marine indet.,Huai Tak,18.620001,99.839996,254.14,251.902
Peltichia kwangtungensis,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Acosarina,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Meekella,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Orthothetina,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Erismatina cooperi,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Glyptosteges,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Tschernyschewia,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Lampangella lata,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Transennatia pitakpaivani,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Spinomarginifera kueichowensis,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Spinomarginifera plena,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Spinomarginifera,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Sarytchevinella tenuissima,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Compressoproductus pentagonalis,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Chonopectoides,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Oldhamina squamosa,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Araxathyris,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Septospirigerella felinella,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Prelissorhynchia pseudoutah,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Cruricella subspeciosa,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Attenuatella,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Alphaneospirifer anshunensis,Changhsingian,,8145,marine indet.,Huai Thak,18.983334,99.98333,254.14,251.902
Anisactinella,Anisian,Ladinian,20666,open shallow subtidal,Mt. Facito,40.483334,15.65,246.7,237.0
Punctospirella fragilis,Anisian,Ladinian,20666,open shallow subtidal,Mt. Facito,40.483334,15.65,246.7,237.0
Decurtella,Anisian,,29188,,,45.0,10.0,246.7,241.464
Decurtella,Anisian,,29189,,,45.0,10.0,246.7,241.464
Decurtella,Anisian,,29190,,Calcare di Dosso dei Morti,45.0,10.0,246.7,241.464
Bulogites zoldianus,Anisian,,29190,,Calcare di Dosso dei Morti,45.0,10.0,246.7,241.464
Bulogites,Anisian,,29190,,Calcare di Dosso dei Morti,45.0,10.0,246.7,241.464
Beyrichites,Anisian,,29190,,Calcare di Dosso dei Morti,45.0,10.0,246.7,241.464
Decurtella,Anisian,,29191,offshore indet.,Calcare di Angolo,45.0,10.0,246.7,241.464
Norites gondola,Anisian,,29191,offshore indet.,Calcare di Angolo,45.0,10.0,246.7,241.464
Paraceratites,Anisian,,29191,offshore indet.,Calcare di Angolo,45.0,10.0,246.7,241.464
Beyrichites,Anisian,,29191,offshore indet.,Calcare di Angolo,45.0,10.0,246.7,241.464
Decurtella,Anisian,,29192,,,45.0,10.0,246.7,241.464
Paraceratites,Anisian,,29192,,,45.0,10.0,246.7,241.464
Bulogites zoldianus,Anisian,,29192,,,45.0,10.0,246.7,241.464
Decurtella,Anisian,,29193,,,45.0,10.0,246.7,241.464
Decurtella,Anisian,,29194,carbonate indet.,,45.0,10.0,246.7,241.464
Piarorhynchia,Anisian,,29194,carbonate indet.,,45.0,10.0,246.7,241.464
Decurtella,Anisian,,29195,,,45.0,10.0,246.7,241.464
Piarorhynchia,Anisian,,29196,,Calcare di Prezzo,45.0,10.0,246.7,241.464
Piarorhynchia,Anisian,,29197,,Calcare di Prezzo,45.0,10.0,246.7,241.464
Piarorhynchia,Anisian,,29198,,Calcare di Prezzo,45.0,10.0,246.7,241.464
Piarorhynchia,Anisian,,29199,,Calcare di Prezzo,45.0,10.0,246.7,241.464
Piarorhynchia,Anisian,,29200,carbonate indet.,Calcare di Prezzo,45.0,10.0,246.7,241.464
Piarorhynchia,Anisian,,29201,carbonate indet.,Calcare di Prezzo,45.0,10.0,246.7,241.464
Piarorhynchia,Anisian,,29202,carbonate indet.,Calcare di Prezzo,45.0,10.0,246.7,241.464
Mentzelia mentzeli,Anisian,,29203,,Calcare di Angolo,45.0,10.0,246.7,241.464
Mentzelia mentzeli,Anisian,,29204,,,45.0,10.0,246.7,241.464
Mentzelia mentzeli,Anisian,,29205,,,45.0,10.0,246.7,241.464
Mentzelia,Anisian,,29206,carbonate indet.,Calcare di Angolo,45.0,10.0,246.7,241.464
Norites gondola,Anisian,,29206,carbonate indet.,Calcare di Angolo,45.0,10.0,246.7,241.464
Mentzelia,Anisian,,29207,,,45.0,10.0,246.7,241.464
Mentzelia,Anisian,,29208,,Calcare di Dosso dei Morti,45.0,10.0,246.7,241.464
Mentzelia,Anisian,,29209,,,45.0,10.0,246.7,241.464
Mentzelia,Anisian,,29211,,,45.0,10.0,246.7,241.464
Norites gondola,Anisian,,29212,,Calcare di Angolo,45.0,10.0,246.7,241.464
Paraceratites,Anisian,,29213,,Calcare di Dosso dei Morti,45.0,10.0,246.7,241.464
Paraceratites,Anisian,,29214,offshore indet.,Calcare di Dosso dei Morti,45.0,10.0,246.7,241.464
Paraceratites,Anisian,,29215,,,45.0,10.0,246.7,241.464
Bulogites zoldianus,Anisian,,29215,,,45.0,10.0,246.7,241.464
Beyrichites,Anisian,,29215,,,45.0,10.0,246.7,241.464
Paraceratites,Anisian,,29216,,,45.0,10.0,246.7,241.464
Bulogites zoldianus,Anisian,,29216,,,45.0,10.0,246.7,241.464
Paraceratites,Anisian,,29217,deep subtidal indet.,,45.0,10.0,246.7,241.464
Bulogites zoldianus,Anisian,,29217,deep subtidal indet.,,45.0,10.0,246.7,241.464
Paraceratites,Anisian,,29219,,,45.0,10.0,246.7,241.464
Ptychites opulentus,Anisian,,29219,,,45.0,10.0,246.7,241.464
Bulogites zoldianus,Anisian,,29220,,,45.0,10.0,246.7,241.464
Bulogites zoldianus,Anisian,,29221,,,45.0,10.0,246.7,241.464
Bulogites zoldianus,Anisian,,29222,,,45.0,10.0,246.7,241.464
Bulogites,Anisian,,29223,,,45.0,10.0,246.7,241.464
Ptychites opulentus,Anisian,,29224,,,45.0,10.0,246.7,241.464
Bivalvia,Griesbachian,Dienerian,31423,marine indet.,Wordie Creek,73.0,-23.0,251.902,249.9
Gastropoda,Griesbachian,Dienerian,31423,marine indet.,Wordie Creek,73.0,-23.0,251.902,249.9
Claraia,Griesbachian,Dienerian,31423,marine indet.,Wordie Creek,73.0,-23.0,251.902,249.9
Glyptophiceras,Griesbachian,Dienerian,31423,marine indet.,Wordie Creek,73.0,-23.0,251.902,249.9
Orthothetina,Changhsingian,,31418,sand shoal,Daluokeng,29.4,110.900002,254.14,251.902
Uncinunellina,Changhsingian,,31419,shallow subtidal indet.,Daluokeng,29.4,110.900002,254.14,251.902
Rectambitus subpentangulata,Changhsingian,,31420,"reef, buildup or bioherm",Daluokeng,29.4,110.900002,254.14,251.902
Araxathyris,Changhsingian,,31420,"reef, buildup or bioherm",Daluokeng,29.4,110.900002,254.14,251.902
Paracrurithyris pigmaea,Changhsingian,,31420,"reef, buildup or bioherm",Daluokeng,29.4,110.900002,254.14,251.902
Speciothyris speciosa,Changhsingian,,31420,"reef, buildup or bioherm",Daluokeng,29.4,110.900002,254.14,251.902
Crurithyris,Changhsingian,,31420,"reef, buildup or bioherm",Daluokeng,29.4,110.900002,254.14,251.902
Ladoliplica platformia,Changhsingian,,31420,"reef, buildup or bioherm",Daluokeng,29.4,110.900002,254.14,251.902
Ladoliplica zigzagiformis,Changhsingian,,31420,"reef, buildup or bioherm",Daluokeng,29.4,110.900002,254.14,251.902
Ladoliplica,Changhsingian,,31420,"reef, buildup or bioherm",Daluokeng,29.4,110.900002,254.14,251.902
Leptodus,Changhsingian,,31420,"reef, buildup or bioherm",Daluokeng,29.4,110.900002,254.14,251.902
Martinia,Changhsingian,,31420,"reef, buildup or bioherm",Daluokeng,29.4,110.900002,254.14,251.902
Orthothetina,Changhsingian,,31420,"reef, buildup or bioherm",Daluokeng,29.4,110.900002,254.14,251.902
Prelissorhynchia pseudoutah,Changhsingian,,31420,"reef, buildup or bioherm",Daluokeng,29.4,110.900002,254.14,251.902
Prelissorhynchia,Changhsingian,,31420,"reef, buildup or bioherm",Daluokeng,29.4,110.900002,254.14,251.902
Rostranteris ptychiventria,Changhsingian,,31420,"reef, buildup or bioherm",Daluokeng,29.4,110.900002,254.14,251.902
Tarimathyris discusella,Changhsingian,,31420,"reef, buildup or bioherm",Daluokeng,29.4,110.900002,254.14,251.902
Tarimathyris ovaloides,Changhsingian,,31420,"reef, buildup or bioherm",Daluokeng,29.4,110.900002,254.14,251.902
Juxathyris shuizhutangensis,Changhsingian,,31420,"reef, buildup or bioherm",Daluokeng,29.4,110.900002,254.14,251.902
Spirigerella,Changhsingian,,31420,"reef, buildup or bioherm",Daluokeng,29.4,110.900002,254.14,251.902
Phricodothyris formilla,Changhsingian,,31420,"reef, buildup or bioherm",Daluokeng,29.4,110.900002,254.14,251.902
Squamularia,Changhsingian,,31420,"reef, buildup or bioherm",Daluokeng,29.4,110.900002,254.14,251.902
Anchorhynchia sarciniformis,Changhsingian,,31420,"reef, buildup or bioherm",Daluokeng,29.4,110.900002,254.14,251.902
Uncinunellina,Changhsingian,,31420,"reef, buildup or bioherm",Daluokeng,29.4,110.900002,254.14,251.902
Eucycloscala,Pelsonian,,31610,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,243.33
Ammonoidea,Pelsonian,,31610,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,243.33
Cassianella simplex,Pelsonian,,31610,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,243.33
Posidonia pannonica,Pelsonian,,31610,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,243.33
Bositra wengensis,Pelsonian,,31610,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,243.33
Protostrea sinensis,Pelsonian,,31610,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,243.33
Elegantinia elegans,Pelsonian,,31610,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,243.33
Diholkorhynchia sinensis,Pelsonian,,31610,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,243.33
Mentzelia subspherica,Pelsonian,,31610,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,243.33
Dagyssia multicostata,Pelsonian,,31610,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,243.33
Nudispiriferina minima,Pelsonian,,31610,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,243.33
Angustothyris angustaeformis,Pelsonian,,31610,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,243.33
Euzone,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Wortheniella,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Wortheniella,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Wortheniella,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Eucycloscala obliquicostata,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Triassocirrus moellendorfi,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Naticopsis (Naticopsis) signata,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Hologyra guizhoui,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Delphinulopsis binodosa,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Fossariopsis sinense,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Allocosmia,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Trypanostylus konincki,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Trypanostylus,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Gastropoda,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Paraceratites,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Palaeonucula qingyanensis,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Parallelodon,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Elegantarca subareata,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Cassianella,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Cassianella,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Cassianella simplex,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Cassianella,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Bositra wengensis,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Palaeolima,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Plagiostoma,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Protostrea sinensis,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Newaagia,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Terquemiidae,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Entolium discites,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Praechlamys,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Elegantinia elegans,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Elegantinia,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Bivalvia,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Diholkorhynchia sinensis,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Mentzelia mentzeli,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Mentzelia subspherica,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Neocyrtina mixodeltidiumosa,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Leiolepismatina semiconula,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Dagyssia multicostata,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Nudispiriferina minima,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Schwagerispira fuchsi,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Angustothyris angustaeformis,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Brachiopoda,Pelsonian,Illyrian,31611,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Wortheniella,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Wortheniella,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Eucycloscala obliquicostata,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Eucycloscala,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Coelostylina ahlburgi,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Coelostylina liscaviensis,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Kittliconcha obesa,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Gastropoda,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Judicarites,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Ammonoidea,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Palaeonucula qingyanensis,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Modiolus salzstettensis,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Pteria,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Pteria rugosa,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Arcavicula,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Gervillia angulata,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Cassianella,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Enteropleura guembeli,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Mysidioptera punctata,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Palaeolima,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Palaeolima,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Pseudoplacunopsis,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Protostrea sinensis,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Lopha,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Ostreoidea,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Leptochondria,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Leptochondria,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Newaagia,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Praechlamys,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Pleuronectites laevigatus,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Elegantinia elegans,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Elegantinia,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Elegantinia,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Bivalvia,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Septaliphorioidea paucicostata,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Costirhynchopsis xingyiensis,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Diholkorhynchia sinensis,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Mentzelia subspherica,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Thecocyrtelloidea tubulosa,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Neocyrtina mixodeltidiumosa,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Paralepismatina semiconica,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Leiolepismatina semiconula,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Dagyssia multicostata,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Nudispiriferina minima,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Lepismatina hsui,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Schwagerispira fuchsi,Pelsonian,Illyrian,31612,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Coelostylina liscaviensis,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Gastropoda,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Polidevcia,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Elegantarca subareata,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Cassianella,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Cassianella simplex,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Bositra wengensis,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Pseudoplacunopsis,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Ostreoidea,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Bivalvia,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Costirhynchopsis sinensis,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Diholkorhynchia sinensis,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Mentzelia mentzeli,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Mentzelia subspherica,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Thecocyrtelloidea tubulosa,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Neocyrtina mixodeltidiumosa,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Leiolepismatina semiconula,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Dagyssia multicostata,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Nudispiriferina minima,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Lepismatina hsui,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Schwagerispira fuchsi,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Angustothyris angustaeformis,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Coenothyris elongata,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Sacothyris angustaeformis,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Brachiopoda,Pelsonian,Illyrian,31613,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Zygites,Pelsonian,Illyrian,31614,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Triassocirrus guizhouensis,Pelsonian,Illyrian,31614,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Triassocirrus moellendorfi,Pelsonian,Illyrian,31614,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Neritaria,Pelsonian,Illyrian,31614,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Gastropoda,Pelsonian,Illyrian,31614,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Ammonoidea,Pelsonian,Illyrian,31614,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Cassianella simplex,Pelsonian,Illyrian,31614,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Mysidioptera punctata,Pelsonian,Illyrian,31614,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Palaeolima,Pelsonian,Illyrian,31614,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Pseudoplacunopsis,Pelsonian,Illyrian,31614,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Ostreoidea,Pelsonian,Illyrian,31614,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
Newaagia,Pelsonian,Illyrian,31614,open shallow subtidal,Qingyan,26.333332,106.683334,244.24,241.464
