genus,interval,survived,occurrence_count,collection_count,environment_breadth,formation_breadth,duration,sampling_intensity,lat_range,lng_range,lazarus
Piarorhynchella,Smithian,1,47,47,8,7,4,47,16.389001999999998,245.998062,1
Piarorhynchella,Spathian,0,47,47,8,7,4,47,16.389001999999998,245.998062,1
Piarorhynchella,Bithynian,0,47,47,8,7,4,47,16.389001999999998,245.998062,1
Piarorhynchia,Illyrian,1,9,9,2,2,2,9,0.8191679999999977,0.4688890000000008,0
Pinna,Smithian,1,8,7,4,5,5,8,16.569443999999997,116.99102599999999,1
Pinna,Spathian,0,8,7,4,5,5,8,16.569443999999997,116.99102599999999,1
Pinna,Bithynian,0,8,7,4,5,5,8,16.569443999999997,116.99102599999999,1
Pinna,Illyrian,1,8,7,4,5,5,8,16.569443999999997,116.99102599999999,1
Pirithyris,Aegean,0,1,1,1,1,1,1,0.0,0.0,0
Placunopsis,Smithian,1,32,32,6,9,6,32,61.937219999999996,238.22695099999999,1
Placunopsis,Spathian,0,32,32,6,9,6,32,61.937219999999996,238.22695099999999,1
Placunopsis,Bithynian,1,32,32,6,9,6,32,61.937219999999996,238.22695099999999,1
Placunopsis,Pelsonian,1,32,32,6,9,6,32,61.937219999999996,238.22695099999999,1
Placunopsis,Illyrian,1,32,32,6,9,6,32,61.937219999999996,238.22695099999999,1
Plagiostoma,Changhsingian,0,81,66,10,19,7,81,121.141167,160.883347,0
Plagiostoma,Spathian,1,81,66,10,19,7,81,121.141167,160.883347,0
Plagiostoma,Aegean,1,81,66,10,19,7,81,121.141167,160.883347,0
Plagiostoma,Bithynian,1,81,66,10,19,7,81,121.141167,160.883347,0
Plagiostoma,Pelsonian,1,81,66,10,19,7,81,121.141167,160.883347,0
Plagiostoma,Illyrian,1,81,66,10,19,7,81,121.141167,160.883347,0
Planodiscoceras,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Platycancrinella,Changhsingian,0,12,12,2,1,1,12,0.8169989999999991,1.1110000000000042,0
Platyceratidae,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Platycuccoceras,Bithynian,1,56,55,5,3,3,56,19.225558000000003,225.03544599999998,1
Platycuccoceras,Pelsonian,0,56,55,5,3,3,56,19.225558000000003,225.03544599999998,1
Platyteichum,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Platyzona,Changhsingian,1,8,7,3,4,2,8,6.75,16.689994,0
Platyzona,Griesbachian,0,8,7,3,4,2,8,6.75,16.689994,0
Plekonella,Changhsingian,0,8,8,2,2,1,8,4.689663000000003,5.145172000000002,0
Pleurikodonta,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Pleurofrechites,Illyrian,1,9,9,1,2,2,9,4.108333000000002,2.9841689999999943,0
Pleurogyronites,Dienerian,0,2,2,2,2,1,2,33.91799999999999,231.030999,0
Pleuromya,Griesbachian,1,42,40,10,16,9,42,49.94000200000001,245.956116,0
Pleuromya,Dienerian,1,42,40,10,16,9,42,49.94000200000001,245.956116,0
Pleuromya,Smithian,1,42,40,10,16,9,42,49.94000200000001,245.956116,0
Pleuromya,Spathian,1,42,40,10,16,9,42,49.94000200000001,245.956116,0
Pleuromya,Aegean,1,42,40,10,16,9,42,49.94000200000001,245.956116,0
Pleuromya,Bithynian,1,42,40,10,16,9,42,49.94000200000001,245.956116,0
Pleuromya,Pelsonian,1,42,40,10,16,9,42,49.94000200000001,245.956116,0
Pleuromya,Illyrian,1,42,40,10,16,9,42,49.94000200000001,245.956116,0
Pleuronectites,Griesbachian,1,53,52,8,10,8,53,61.489166,248.111672,1
Pleuronectites,Dienerian,1,53,52,8,10,8,53,61.489166,248.111672,1
Pleuronectites,Smithian,1,53,52,8,10,8,53,61.489166,248.111672,1
Pleuronectites,Spathian,0,53,52,8,10,8,53,61.489166,248.111672,1
Pleuronectites,Bithynian,1,53,52,8,10,8,53,61.489166,248.111672,1
Pleuronectites,Pelsonian,1,53,52,8,10,8,53,61.489166,248.111672,1
Pleuronectites,Illyrian,1,53,52,8,10,8,53,61.489166,248.111672,1
Pleuronodoceras,Changhsingian,0,125,92,10,10,1,125,15.339998999999999,74.233002,0
Pleuronodoceratidae,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Pleurophorus,Changhsingian,0,3,3,2,1,1,3,12.535,30.160004,0
