genus,interval,survived,occurrence_count,collection_count,environment_breadth,formation_breadth,duration,sampling_intensity,lat_range,lng_range,lazarus
Pseudostreptorhynchus,Changhsingian,0,3,3,3,2,1,3,2.8782010000000007,0.8135070000000013,0
Pseudosvalbardiceras,Spathian,0,15,11,2,1,1,15,34.442997,246.170006,0
Pseudotirolites,Changhsingian,0,184,134,11,11,1,184,20.2406,74.190003,0
Pseudotoceras,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Pseudotritonium,Smithian,0,2,2,1,1,1,2,0.0,0.0,0
Pseudowellerella,Changhsingian,0,5,5,2,2,1,5,5.159998999999999,5.429996000000003,0
Pseudozygopleura,Changhsingian,0,2,2,2,2,1,2,4.799999,28.826667999999998,0
Pseudozygopleuridae,Griesbachian,0,1,1,1,1,1,1,0.0,0.0,0
Psilocamara,Changhsingian,0,1,1,1,0,1,1,0.0,0.0,0
Psilocladiscites,Bithynian,0,3,3,2,2,2,3,0.21388599999999514,22.046111999999997,0
Psilosturia,Aegean,1,9,9,2,3,5,9,54.904334999999996,101.50027399999999,0
Psilosturia,Bithynian,1,9,9,2,3,5,9,54.904334999999996,101.50027399999999,0
Psilosturia,Pelsonian,1,9,9,2,3,5,9,54.904334999999996,101.50027399999999,0
Psilosturia,Illyrian,1,9,9,2,3,5,9,54.904334999999996,101.50027399999999,0
Pteria,Changhsingian,1,182,148,15,27,8,182,58.794275000000006,256.732865,1
Pteria,Griesbachian,1,182,148,15,27,8,182,58.794275000000006,256.732865,1
Pteria,Dienerian,1,182,148,15,27,8,182,58.794275000000006,256.732865,1
Pteria,Smithian,1,182,148,15,27,8,182,58.794275000000006,256.732865,1
Pteria,Spathian,0,182,148,15,27,8,182,58.794275000000006,256.732865,1
