genus,Changhsingian,Griesbachian,Dienerian,Smithian,Spathian,Aegean,Bithynian,Pelsonian,Illyrian,Anisian
Augustaceras,0,0,0,0,0,0,1,1,0,0
Aulacothyris,0,0,0,0,0,0,0,1,1,1
Aulacothyroides,0,0,0,0,0,0,0,0,0,1
Aulosteges,1,0,0,0,0,0,0,0,0,0
Aulostegidae,1,0,0,0,0,0,0,0,0,0
Aurilinoproductus,1,0,0,0,0,0,0,0,0,0
Austriellula,0,0,0,0,1,0,1,1,0,1
Austrotindaria,1,1,1,1,1,0,0,0,0,0
Avichlamys,0,0,0,0,1,0,1,0,0,0
Avicula,1,0,0,0,1,0,0,0,1,1
Aviculolima,0,0,0,0,0,0,0,0,0,1
Aviculomyalina,0,0,0,0,0,0,0,0,1,0
Aviculopecten,1,1,1,1,1,0,0,0,0,1
Aviculopectinidae,1,1,0,0,0,0,0,0,0,0
Aviculopectinoidea,1,1,0,0,0,0,0,0,0,0
Aviculopinna,1,0,0,0,0,0,0,0,0,0
Awanites,0,0,1,0,0,0,0,0,0,0
Azarianites,0,0,0,0,0,1,1,0,0,0
Baidites,0,0,0,1,0,0,0,0,0,0
Bajarunia,0,0,0,1,1,0,0,0,0,0
Bajkuria,1,0,0,0,0,0,0,0,0,0
Bakevellia,1,1,1,1,1,1,1,1,1,1
Bakevelliidae,0,0,0,0,0,0,1,0,0,0
Balatonites,0,0,0,1,0,0,0,1,1,1
Balatonospira,0,0,0,0,0,0,0,0,0,1
Balhaeceras,0,0,0,1,0,0,0,0,0,0
Bandoites,0,0,0,1,0,0,0,0,0,0
Bandoproductus,1,0,0,0,0,0,0,0,0,0
Battenizyga,0,0,0,1,0,0,0,0,0,0
Baylea,1,0,0,0,0,0,0,0,0,0
Beatites,0,0,0,0,1,0,0,0,0,0
Beaumontites,0,0,0,0,0,0,0,0,0,1
Bellerophon,1,1,1,0,0,0,0,0,0,0
Bellerophontida,0,1,0,0,0,0,0,0,0,0
Bellerophontidae,1,1,1,0,0,0,0,0,0,0
Bellerophontoidea,0,1,0,1,0,0,0,0,0,0
Beneckeia,0,0,0,0,0,1,1,1,0,1
Betaneospirifer,1,0,0,0,0,0,0,0,0,0
Beyrichites,0,0,0,0,1,1,1,1,1,1
Beyrichitinae,0,0,0,0,0,0,0,1,1,1
Bicamella,1,0,0,0,0,0,0,0,0,0
Bicarinella,1,0,0,0,0,0,0,0,0,0
Billingsites,0,0,0,0,0,0,0,0,1,0
Biplatyconcha,1,0,0,0,0,0,0,0,0,0
Bittnerites,0,0,0,0,1,0,0,0,0,0
Bittnerithyris,0,1,1,1,1,0,0,0,0,0
Bivalvia,1,1,1,1,1,1,0,1,1,1
Blasispirifer,1,0,0,0,0,0,0,0,0,0
Boreiohungarites,0,0,0,0,0,0,0,0,0,1
Boreomeekoceras,0,0,0,1,1,0,0,0,0,0
Bositra,0,1,1,1,1,0,1,1,1,1
Botulopsis,0,0,0,0,0,0,0,1,0,1
Bourguetia,0,0,0,0,0,0,0,0,0,1
Boutillieria,0,0,0,1,0,0,0,0,0,0
Brachiopoda,1,0,0,1,1,1,0,1,0,1
Brachythyrina,1,0,0,0,0,0,0,0,0,0
Brackites,0,0,0,0,0,0,0,0,1,0
Bradyia,0,0,0,0,0,1,1,0,0,0
Brayardites,0,0,0,1,0,0,0,0,0,0
Bronzoria,0,0,0,0,1,1,0,0,1,1
Bucania,1,0,0,0,0,0,0,0,0,0
Bucanopsis,1,0,0,0,0,0,0,0,0,0
Buccinites,0,0,0,0,0,0,0,1,0,1
Buddhaites,0,0,0,0,0,0,1,0,0,1
Bukkenites,0,1,1,0,0,0,0,0,0,0
Bukowskiites,0,0,0,0,0,0,0,0,0,1
Bullarina,1,0,0,0,0,0,0,0,0,0
Bullatihungarites,0,0,0,0,0,0,0,0,1,0
Bulogites,0,0,0,0,0,0,0,1,1,1
Burijites,0,0,0,1,1,0,0,0,0,0
Byrrangoceras,0,0,0,0,1,0,0,0,0,0
Calliotropis,0,0,0,0,0,0,0,1,0,0
Callispirina,1,0,0,0,0,0,0,0,0,0
Callistadia,1,0,0,0,0,0,0,0,0,0
Callitomaria,1,0,0,0,0,0,0,0,0,0
Calvaentolium,0,0,0,0,0,0,0,0,1,1
Camarophorinella,1,0,0,0,0,0,0,0,0,0
Camerenteletes,1,0,0,0,0,0,0,0,0,0
Camptonectes,0,0,0,0,0,0,0,0,0,1
Cancellotomaria,0,0,0,0,0,0,0,0,1,0
Cancrinella,1,0,0,0,0,0,0,0,0,0
Capillomesolobus,1,0,0,0,0,0,0,0,0,0
Capillonia,1,0,0,0,0,0,0,0,0,0
Cardinia,0,0,1,0,0,0,0,1,0,1
Cardinioides,0,0,0,0,1,0,0,0,0,1
Cardiomorpha,0,0,0,0,0,0,0,0,0,1
Cardita,0,0,0,0,1,0,0,0,0,0
Carditoidea,0,0,0,0,1,0,0,0,0,0
Caribouceras,0,0,0,0,1,0,0,0,0,0
Caricula,1,0,0,0,0,0,0,0,0,0
Carteria,0,0,0,0,1,0,0,0,0,0
Cartorhium,1,0,0,0,0,0,0,0,0,0
Cassianella,0,0,0,0,0,1,0,1,1,1
Cassianoides,1,0,0,0,0,0,0,0,0,0
Cassianospira,0,0,0,0,0,0,0,1,0,0
Catella,0,0,0,0,0,0,0,0,0,1
Cathaysia,1,1,0,0,0,0,0,0,0,0
Caucasites,0,0,0,0,0,1,1,0,0,0
Caucasoproductus,1,0,0,0,0,0,0,0,0,0
Caucasorhynchella,0,0,0,0,0,0,0,1,0,1
Caucasorhynchia,0,0,0,0,0,0,0,1,1,1
Ceccaceras,0,0,0,0,0,0,0,0,1,0
Ceccaisculitoides,0,0,0,0,1,0,0,0,0,0
Celtites,0,0,0,1,1,0,0,0,1,1
Celtitidae,0,0,0,0,0,0,0,0,1,0
Ceratites,0,0,0,1,1,0,0,1,1,1
Ceratitida,0,1,1,1,1,0,0,0,1,1
Ceratitidae,0,0,0,0,0,0,0,1,1,0
Ceratitina,0,0,0,0,0,0,0,0,0,1
Ceraunocochlis,1,0,0,0,0,0,0,0,0,0
Chaenomya,1,0,0,0,0,0,0,0,0,0
Changhsingoceras,1,0,0,0,0,0,0,0,0,0
Chaohochonetes,1,0,0,0,0,0,0,0,0,0
Chaotianoceras,1,0,0,0,0,0,0,0,0,0
Chartronella,0,1,1,1,1,0,0,0,0,0
Cheilotomona,0,0,0,0,0,0,0,1,0,1
Chemnitzia,0,0,0,0,0,0,0,0,0,1
Chenxianoproductus,1,0,0,0,0,0,0,0,0,0
Chieseiceras,0,0,0,0,0,0,0,0,1,1
Chioceras,0,0,0,0,1,0,0,0,0,0
Chiotites,0,0,0,0,1,0,0,0,0,0
Chiratites,0,0,0,0,0,0,0,1,0,0
Chivatschella,1,0,0,0,0,0,0,0,0,0
Chlamys,0,0,0,1,1,0,1,0,0,1
Chonetella,1,0,0,0,0,0,0,0,0,0
Chonetes,1,1,0,0,0,0,0,0,0,0
Chonetidae,1,0,0,0,0,0,0,0,0,0
Chonetidina,1,0,0,0,0,0,0,0,0,0
Chonetinella,1,0,0,0,0,0,0,0,0,0
Chonetoidea,1,0,0,0,0,0,0,0,0,0
Chonopectoides,1,0,0,0,0,0,0,0,0,0
Choristitella,1,0,0,0,0,0,0,0,0,0
Chuanyanella,1,0,0,0,0,0,0,0,0,0
Chuluaria,0,0,0,1,1,0,0,0,0,0
Churkites,0,0,0,1,0,0,0,0,0,0
Cibecuia,1,0,0,0,0,0,0,0,0,0
Cimidae,0,0,0,0,0,0,0,1,0,0
Cinclidonema,1,0,0,0,0,0,0,0,0,0
Cirpa,0,0,0,0,0,0,0,0,0,1
Cladiscitidae,0,0,0,0,1,0,0,0,1,0
Claraia,1,1,1,1,1,0,0,0,1,1
Claraioides,1,0,0,0,0,0,0,0,0,0
Clavicosta,1,0,0,0,0,0,0,0,0,0
Cleidophorus,1,0,0,0,0,0,0,0,0,0
Cleiothyridellina,1,0,0,0,0,0,0,0,0,0
Cleiothyridina,1,0,0,0,0,0,0,0,0,0
Clivotirolites,1,0,0,0,0,0,0,0,0,0
Clypeoceras,0,0,1,1,1,0,0,0,0,0
Clypeoceratoides,0,0,0,1,0,0,0,0,0,0
Clypites,0,0,1,1,0,0,0,0,0,0
Codinella,0,0,0,0,0,0,0,0,1,1
Coelopis,0,0,0,0,0,0,0,1,0,0
Coelostylina,1,1,1,1,1,0,1,1,0,1
Coelostylinidae,0,0,0,0,0,0,0,1,0,0
Coenothyris,0,0,0,0,0,0,0,1,1,1
Coledium,1,0,0,0,0,0,0,0,0,0
Collabrina,1,0,0,0,0,0,0,0,0,0
Collemataria,1,0,0,0,0,0,0,0,0,0
Collignonites,0,0,1,1,0,0,0,0,0,0
Columbisculites,0,0,0,0,0,1,0,0,0,0
Columbites,0,0,0,0,1,0,0,0,0,0
Columboceras,0,0,0,0,0,1,0,0,0,0
Comelicania,1,0,0,0,0,0,0,0,0,0
Comelicothyris,1,0,0,0,0,0,0,0,0,0
Composita,1,0,0,0,0,0,0,0,0,0
Compressoproductus,1,0,0,0,0,0,0,0,0,0
Comuquia,1,0,0,0,0,0,0,0,0,0
Confusionella,0,0,0,1,0,0,0,0,0,0
Constrigymnites,0,0,0,0,0,0,0,1,0,0
Contraspina,1,0,0,0,0,0,0,0,0,0
Coolkilella,1,0,0,0,0,0,0,0,0,0
Corbula,0,0,0,0,0,0,0,0,1,0
Cordillerites,0,1,0,1,1,0,0,0,0,0
Coronopsis,1,0,0,0,0,0,0,0,0,0
Cortinaticopsis,0,0,0,0,0,0,0,0,0,1
Coscaites,0,0,0,0,1,0,0,0,0,0
Cossmannina,0,1,0,0,0,0,0,0,0,0
Costatoria,1,1,1,1,1,1,0,1,1,1
Costatumulus,1,0,0,0,0,0,0,0,0,0
Costiferina,1,0,0,0,0,0,0,0,0,0
Costigymnites,0,0,0,0,0,0,1,0,0,0
Costinorella,0,0,0,0,0,0,0,0,0,1
Costirhynchopsis,0,0,0,0,0,1,1,1,1,1
Costispinifera,1,0,0,0,0,0,0,0,0,0
Costispiniferini,1,0,0,0,0,0,0,0,0,0
Costispiriferina,0,0,0,0,0,0,0,1,0,0
Costisteges,1,0,0,0,0,0,0,0,0,0
Courtilloticeras,0,0,0,0,1,0,0,0,0,0
Cowboyiceras,0,0,0,0,1,0,0,0,0,0
Crassispirifer,1,0,0,0,0,0,0,0,0,0
Crenipecten,1,0,0,0,0,0,0,0,0,0
Crenispirifer,1,0,0,0,0,0,0,0,0,0
Crenulatomargus,0,0,0,0,0,0,0,0,0,1
Cristaflabellum,0,0,0,0,0,0,1,0,0,1
Crittendenia,0,1,1,1,1,0,0,1,0,1
Cruricella,1,0,0,0,0,0,0,0,0,0
Crurithyris,1,1,1,0,0,0,0,0,0,0
Cryptacanthia,1,0,0,0,0,0,0,0,0,0
Cryptonerita,0,0,0,0,0,0,0,1,0,0
Cuccoceras,0,0,0,0,0,0,1,1,0,1
Cucullaea,0,0,0,0,0,0,0,0,0,1
Cultriopsis,0,0,0,0,0,0,1,0,0,0
Curionia,0,0,0,0,0,0,0,1,0,1
Cyclobathmus,0,0,0,0,1,0,0,0,0,0
Cyclolobus,1,0,0,0,0,0,0,0,0,0
Cylindritopsis,1,0,0,0,0,0,0,0,0,0
Cylindrobullina,0,0,0,1,0,0,0,0,0,0
Cypricardia,0,0,0,0,0,0,0,0,0,1
Cyrolexis,1,0,0,0,0,0,0,0,0,0
Cyrtina,0,0,0,0,0,0,0,1,0,0
Cyrtorostra,1,0,0,0,0,0,0,0,0,0
Czekanowskites,0,0,0,1,1,1,1,1,0,1
Dacromya,1,1,0,0,1,0,0,0,0,1
Dacryomya,0,1,0,0,1,1,1,0,1,1
Dagnoceras,0,0,0,1,1,0,0,0,0,0
Dagyssia,0,0,0,0,0,0,0,1,0,1
Dalmatites,0,0,0,1,1,0,0,0,0,1
Damesiella,0,0,0,0,0,0,0,1,0,0
Danubites,0,1,0,1,0,1,1,1,1,1
Daonella,0,0,0,1,1,1,1,1,1,1
Dareithyris,0,0,0,0,0,0,1,0,0,0
Dasysaria,1,0,0,0,0,0,0,0,0,0
Daubichites,1,0,0,0,0,0,0,0,0,0
Decurtella,0,0,0,0,0,0,0,1,1,1
Delphinulopsis,0,0,0,0,0,0,0,1,0,1
Deltopecten,1,0,0,0,0,0,0,0,0,0
Deltopectininae,1,0,0,0,0,0,0,0,0,0
Demonedys,1,0,0,0,0,0,0,0,0,0
Derbyella,1,0,0,0,0,0,0,0,0,0
Derbyia,1,1,0,0,0,0,0,0,0,0
Detoniceras,0,0,0,0,0,0,0,0,1,1
Deweveria,0,0,0,0,1,0,0,0,0,0
Dianomya,0,0,0,0,0,0,0,0,0,1
Dicellonema,0,1,1,0,0,0,1,0,0,0
