genus,Changhsingian,Griesbachian,Dienerian,Smithian,Spathian,Aegean,Bithynian,Pelsonian,Illyrian,Anisian
Ginsburgites,0,0,0,0,0,0,1,0,0,0
Girtyella,1,0,0,0,0,0,0,0,0,0
Girtypecten,1,0,0,0,0,0,0,0,0,0
Girtyspira,1,0,0,0,0,0,0,0,0,0
Gjelispinifera,1,0,0,0,0,0,0,0,0,0
Glabercolumbites,0,0,0,0,1,0,0,0,0,0
Glabrichonetina,1,0,0,0,0,0,0,0,0,0
Glabrocingulum,1,1,0,0,0,0,0,1,0,0
Globacrochordiceras,0,0,0,0,1,0,0,0,0,0
Globodiscus,0,0,0,0,0,0,1,0,0,0
Glottidia,0,0,0,0,0,1,0,0,0,0
Glyptophiceras,0,1,0,1,1,0,0,0,0,0
Glyptorhynchia,1,0,0,0,0,0,0,0,0,0
Glyptospira,1,0,0,0,0,0,0,0,0,0
Glyptosteges,1,0,0,0,0,0,0,0,0,0
Goleomixa,1,0,0,0,0,0,0,0,0,0
Goniarina,1,0,0,0,0,0,0,0,0,0
Goniasma,1,0,0,0,0,0,0,0,0,0
Goricanites,0,0,0,0,1,0,0,0,0,0
Gosseletina,0,0,0,0,0,0,0,0,0,1
Goudemandites,0,0,0,1,1,0,0,0,0,0
Grambergia,0,0,0,0,0,1,0,0,0,1
Grammatodon,1,0,0,0,0,0,0,0,0,0
Gresslya,0,0,0,0,0,0,0,0,1,1
Griesbachites,0,0,0,0,0,0,0,0,0,1
Groenlandites,0,0,0,0,0,1,0,0,0,1
Gruntallina,1,0,0,0,0,0,0,0,0,0
Gruntea,1,0,0,0,0,0,0,0,0,0
Guangia,1,0,0,0,0,0,0,0,0,0
Guangxiceltites,0,0,0,1,0,0,0,0,0,0
Guangxiceras,0,0,0,1,0,0,0,0,0,0
Gubleria,1,0,0,0,0,0,0,0,0,0
Guexites,0,0,0,0,0,0,0,1,0,0
Guichiella,1,1,0,1,0,0,0,0,0,0
Guineana,0,0,0,0,0,0,0,0,0,1
Guizhoumyophoria,0,0,0,0,0,0,0,1,0,1
Guizhoupecten,1,0,0,0,0,0,0,0,0,0
Guizhouspira,1,0,0,0,1,0,0,0,0,0
Gujocardita,1,0,0,0,0,0,0,0,0,0
Gundarolasmina,1,0,0,0,0,0,0,0,0,0
Guodunites,0,0,0,1,0,0,0,0,0,0
Gurleyites,0,0,0,1,1,0,0,0,0,0
Gymnites,0,0,0,0,0,1,1,1,1,1
Gymnotoceras,0,0,0,0,1,1,1,1,1,1
Gyronites,0,1,1,1,1,0,0,0,0,0
Gyronitidae,0,1,1,1,1,0,0,0,0,0
Gyrophiceras,0,1,1,1,0,0,0,0,0,0
Halilucites,0,0,0,0,0,0,0,0,1,1
Halobia,0,0,0,0,0,0,0,0,0,1
Hanielites,0,0,0,1,0,0,0,0,0,0
Hayasakapecten,1,0,0,0,0,0,0,0,0,0
Haydenella,1,1,0,0,0,0,0,0,0,0
Haydenoides,1,0,0,0,0,0,0,0,0,0
Hebeisenites,0,0,1,1,0,0,0,0,0,0
Hedenstroemia,0,0,0,1,0,0,0,0,0,0
Hedenstroemiidae,0,0,0,1,1,0,0,0,0,0
Heibergites,0,0,1,0,0,0,0,0,0,0
Hellenites,0,0,0,0,1,0,0,0,0,0
Hemilecanites,0,0,0,1,1,1,0,0,0,0
Hemimenion,0,0,0,0,0,0,0,0,0,1
Heminajas,0,0,0,0,1,0,1,0,0,0
Hemiprionites,0,0,0,1,1,0,0,0,0,0
Hemiptychina,1,0,0,0,0,0,0,0,0,0
Hermannites,0,0,0,1,0,0,0,0,0,0
Heshanietta,1,0,0,0,0,0,0,0,0,0
Heteralosia,1,0,0,0,0,0,0,0,0,0
Heterelasma,1,0,0,0,1,0,0,0,0,0
Heterelasmina,1,0,0,0,0,0,0,0,0,0
Heteroconchia,1,0,0,0,0,0,0,0,0,0
Heteropecten,1,1,0,0,0,0,0,0,0,0
Hirsutella,0,0,0,0,1,1,0,1,0,1
Hirsutina,0,0,0,0,0,0,0,0,0,1
Hochuliites,0,0,0,1,0,0,0,0,0,0
Hoernesia,0,1,0,0,1,1,1,1,1,1
Hoferia,0,0,0,0,0,0,0,0,0,1
Holcorhynchella,0,0,0,0,0,0,1,1,1,1
Holcorhynchia,0,0,0,0,0,0,0,0,0,1
Holcothyris,0,0,0,0,0,0,0,0,0,1
Hollandites,0,0,0,0,0,1,1,1,1,1
Hologyra,0,0,0,0,0,0,0,1,0,1
Holopea,1,0,0,0,0,0,0,0,0,0
Holopella,1,1,0,0,0,0,0,0,0,0
Homoeorhynchia,0,0,0,0,0,0,0,1,0,0
Homomya,0,0,1,0,1,1,0,0,1,1
Horridonia,1,0,0,0,0,0,0,0,0,0
Hoskingia,1,0,0,0,0,0,0,0,0,0
Huananoceras,1,0,0,0,0,0,0,0,0,0
Huatangia,1,0,0,0,0,0,0,0,0,0
Hubeitoceras,0,1,1,0,0,0,0,0,0,0
Huishuites,0,0,0,0,0,1,0,0,0,0
Humboldtites,0,0,0,0,0,0,0,0,1,0
Hunanopecten,1,0,0,0,0,0,0,0,0,0
Hungarites,0,0,0,0,0,0,0,0,1,1
Hungaritidae,0,0,0,0,0,0,0,0,1,0
Hustedia,1,0,0,0,0,0,0,0,0,0
Hustedtiella,0,0,0,1,1,0,0,0,0,0
Hybostenoscisma,1,0,0,0,0,0,0,0,0,0
Hyparpadites,0,0,0,0,0,0,0,0,1,0
Hyphantozyga,1,0,0,0,0,0,0,0,0,0
Hypophiceras,1,1,0,0,0,0,0,0,0,0
Ianthinopsis,1,0,0,0,0,0,0,0,0,0
Idahocolumbites,0,0,0,0,1,0,0,0,0,0
Incisius,1,0,0,0,0,0,0,0,0,0
Indigirites,0,0,0,0,0,0,0,0,0,1
Indigirophyllites,0,0,0,0,0,1,0,0,1,1
Intomodesma,1,0,0,0,0,0,0,0,0,0
Intornites,0,0,0,0,0,0,1,1,1,1
Inyoceras,0,0,0,1,1,0,0,0,0,0
Inyoites,0,0,0,1,0,0,0,0,0,0
Inyoitidae,0,0,0,1,0,0,0,0,0,0
Iranites,1,0,0,0,0,0,0,0,0,0
Isculites,0,0,0,0,0,1,1,1,0,1
Isculitoides,0,0,0,0,1,0,0,0,0,0
Ismidites,0,0,0,0,0,0,1,1,0,0
Isocrania,0,0,0,0,1,0,0,0,0,0
Isognomon,1,0,0,0,0,0,0,0,0,0
Israelites,0,0,0,0,0,0,0,0,0,1
Istreites,0,0,0,0,0,0,0,0,0,1
Janaija,0,0,0,0,0,0,0,0,1,1
Janeia,1,0,0,0,0,0,0,0,0,0
Janiceps,1,0,0,0,0,0,0,0,0,0
Janopecten,0,0,0,0,0,0,0,0,1,1
Japonites,0,0,0,0,1,1,1,0,1,1
Jeanbesseiceras,0,0,0,1,1,0,0,0,0,0
Jenksites,0,0,0,0,0,0,0,1,1,0
Jieshaniceras,0,1,1,0,0,0,0,0,0,0
Jinyaceras,0,0,0,1,1,0,0,0,0,0
Joannina,0,0,0,0,0,0,1,1,0,0
Joannites,0,0,0,0,0,0,0,0,1,1
Judicarites,1,0,0,0,0,0,1,1,1,1
Julfotirolites,1,0,0,0,0,0,0,0,0,0
Julfotoceras,1,0,0,0,0,0,0,0,0,0
Juresania,1,0,0,0,0,0,0,0,0,0
Juvenites,0,0,1,1,1,0,0,0,0,0
Juxathyris,1,1,0,0,0,0,0,0,0,0
Kalenteridae,1,0,0,0,0,0,0,0,0,0
Kamenushkaites,0,0,0,1,1,0,0,0,0,0
Karangatites,0,0,0,0,1,1,0,0,0,0
Kashmirites,1,0,1,1,1,0,0,0,0,0
Kashmiritidae,0,0,0,1,0,0,0,0,0,0
Katosira,0,0,0,0,0,0,0,0,0,1
Kazakhstanites,0,0,0,1,1,1,0,0,0,0
Kellnerites,0,0,0,0,0,0,0,1,1,1
Kelteroceras,0,0,0,1,0,0,0,0,0,0
Keyserlingina,1,0,0,0,0,0,0,0,0,0
Keyserlingites,0,0,0,1,1,0,0,0,0,1
Keyserlingitidae,0,0,0,0,1,0,0,0,0,0
Khvalynites,0,0,0,0,1,0,0,0,0,0
Kiangsiella,1,0,0,0,0,0,0,0,0,0
Kingites,0,0,1,1,0,0,0,0,0,0
Kiparisovia,0,0,0,0,0,0,0,0,0,1
Kiparisovites,0,0,0,0,1,0,0,0,0,0
Kittliconcha,0,0,0,0,0,0,0,1,0,1
Kocaelia,0,0,0,0,0,1,1,0,0,0
Kochiproductus,1,0,0,0,0,0,0,0,0,0
Koeveskallina,0,0,0,0,0,1,1,1,1,1
Koiloceras,0,0,1,1,0,0,0,0,0,0
Koipatoceras,0,0,0,0,0,0,1,1,0,0
Kokenella,0,0,0,0,0,0,0,0,0,1
Kokenospira,1,0,0,0,0,0,0,0,0,0
Konglingites,1,0,0,0,0,0,0,0,0,0
Koninckites,0,1,1,1,1,0,0,0,0,0
Koninckitoides,0,0,0,0,1,0,0,0,0,0
Kotlaia,1,1,0,0,0,0,0,0,0,0
Kraffticeras,0,0,0,1,0,0,0,0,0,0
Krotovia,0,1,0,0,0,0,0,0,0,0
Kummelia,0,0,1,0,0,0,0,0,0,0
Kymatites,0,1,1,0,0,0,0,0,0,0
Kyoktites,0,1,1,0,0,0,0,0,0,0
Labaella,1,0,0,0,0,0,0,0,0,0
Labaia,1,0,0,0,0,0,0,0,0,0
Laboceras,0,0,0,0,0,1,1,0,0,0
Ladinaticella,0,0,0,1,0,0,1,1,0,0
Ladinomya,1,0,0,0,0,0,0,0,0,0
Ladoliplica,1,0,0,0,0,0,0,0,0,0
Laevorhynchia,0,1,0,0,0,0,0,0,0,0
Laibinoceras,1,0,0,0,0,0,0,0,0,0
Lamnimargus,1,1,0,0,0,0,0,0,0,0
Lampangella,1,1,0,0,0,0,0,0,0,0
Lanceolites,0,0,0,1,0,0,0,0,0,0
Lanceolitidae,0,0,0,1,0,0,0,0,0,0
Lanceoptychites,0,0,0,0,0,0,0,0,1,1
Langsonella,0,0,0,0,0,0,0,1,0,1
Lapteviella,0,0,0,0,0,1,0,0,1,1
Lardaroceras,0,0,0,0,0,0,0,0,1,1
Larenites,0,0,1,1,0,0,0,0,0,0
Latemarites,0,0,0,0,0,0,0,0,1,0
Laterispina,1,0,0,0,0,0,0,0,0,0
Laternula,0,0,0,0,0,0,0,0,0,1
Latisageceras,0,0,1,1,0,0,0,0,0,0
Laubopsis,0,0,0,1,0,0,0,0,0,0
Laxella,1,1,0,0,0,0,0,0,0,0
Lazarevonia,1,0,0,0,0,0,0,0,0,0
Lecanites,0,0,0,1,1,0,0,0,1,0
Leda,0,0,0,0,0,0,0,0,1,1
Leidapoconcha,0,0,0,0,0,0,0,0,0,1
Leiolepismatina,0,0,0,0,0,0,0,1,0,0
Leiophyllites,0,0,0,0,1,1,1,1,1,1
Lenotropites,0,0,0,0,1,1,0,0,0,1
Lepidospirifer,1,0,0,0,0,0,0,0,0,0
Lepidotrochus,0,0,0,0,0,0,0,0,0,1
Lepiskites,0,0,0,1,0,0,0,0,0,0
Lepismatina,0,1,0,1,1,1,1,1,1,1
Leptochondria,1,1,1,1,1,1,1,1,1,1
Leptodesma,1,0,0,0,0,0,0,0,0,0
Leptodus,1,0,0,0,0,0,0,0,0,0
Leptomphalus,1,0,0,0,0,0,0,0,0,0
Leptoptygma,1,0,0,0,0,0,0,0,0,0
Lethamia,1,0,0,0,0,0,0,0,0,0
Levizygopleura,1,0,0,0,0,0,0,0,0,0
Leyeceras,0,0,0,1,0,0,0,0,0,0
Lialosia,1,0,0,0,0,0,0,0,0,0
Liaous,0,0,0,0,0,0,1,0,0,0
Licharewiconcha,1,0,0,0,0,0,0,0,0,0
Licharewiella,1,0,0,0,0,0,0,0,0,0
Licharewiidae,1,0,0,0,0,0,0,0,0,0
Licharewina,1,0,0,0,0,0,0,0,0,0
Lichuanorelloides,0,1,1,0,0,0,0,0,0,0
Liebea,1,0,0,0,0,0,0,0,0,0
Lilangina,0,0,0,0,0,0,0,0,0,1
Lima,0,0,0,0,0,0,1,0,1,1
Limatula,0,0,0,0,0,0,0,0,0,1
Limea,0,0,0,0,0,0,0,0,0,1
Limidae,1,0,0,0,0,0,0,0,0,1
Limipecten,1,0,0,0,0,0,0,0,0,0
Lingula,1,1,1,1,1,0,0,0,1,1
Lingularia,1,1,1,1,1,1,0,1,1,1
Lingulida,0,1,0,0,0,0,0,0,0,0
Lingulidae,1,1,0,0,0,1,0,0,0,0
Lingyunites,0,0,1,1,0,0,0,0,0,0
Linoproductoidea,1,0,0,0,0,0,0,0,0,0
Linoproductus,1,1,0,0,0,0,0,0,0,0
Liosotella,1,0,0,0,0,0,0,0,0,0
Liraplecta,1,0,0,0,0,0,0,0,0,0
Lissochonetes,1,1,0,0,0,0,0,0,0,0
Lissorhynchia,1,1,1,1,0,0,0,1,1,1
Lithodomina,1,0,0,0,0,0,0,0,0,0
Lithodomus,1,0,0,0,0,0,0,0,0,0
Lithophaga,1,0,0,0,0,0,0,0,0,0
Liuchengoceras,1,0,0,0,0,0,0,0,0,0
Longmenshanoceras,1,0,0,0,0,0,0,0,0,0
Longobardites,0,0,0,0,0,0,0,1,1,1
Longobarditinae,0,0,0,0,0,0,0,0,0,1
Longobarditoides,0,0,0,0,0,1,1,0,0,0
Lopha,1,0,0,0,0,0,0,1,0,1
Loripes,1,0,0,0,0,0,0,0,0,0
Lovaralucina,1,0,0,0,0,0,0,0,0,0
Loxonema,1,1,1,0,0,1,0,1,0,1
Loxophragmus,1,0,0,0,0,0,0,0,0,0
Lucasites,0,0,0,1,0,0,0,0,0,0
Lucina,1,0,0,0,0,0,0,0,0,1
Lunoglossa,1,0,0,0,0,0,0,0,0,0
Luoguella,1,0,0,0,0,0,0,0,0,0
Luoguispira,1,0,0,0,0,0,0,0,0,0
Lutites,1,0,0,0,0,0,0,0,0,0
Lyrodon,0,0,0,0,0,0,0,0,0,1
Lyroschizodus,1,0,0,0,0,0,0,0,0,0
Lytophiceras,0,1,1,0,0,0,0,0,0,0
Lyttoniidae,1,0,0,0,0,0,0,0,0,0
Macrodon,0,0,0,0,0,0,0,0,1,1
Macrodontella,0,0,0,0,0,0,0,0,1,0
Mactromya,0,0,0,0,0,0,0,0,0,1
Madoia,0,0,0,0,0,1,0,0,0,0
Magniplicatina,1,0,0,0,0,0,0,0,0,0
Magnolobia,0,0,0,0,0,0,0,0,0,1
Maitaia,1,1,1,1,0,0,0,0,0,0
Malletia,1,0,0,0,0,0,0,0,1,1
Malletiidae,0,1,0,0,0,0,0,0,0,0
Malletoptychites,0,0,0,0,0,0,1,0,0,1
Mamoeatomaria,0,0,0,0,0,0,0,0,0,1
Manzanospira,1,0,0,0,0,0,0,0,0,0
Maorielasma,1,0,0,0,0,0,0,0,0,0
Maorirhynchia,0,0,0,0,0,0,0,0,0,1
Marcouxia,0,0,0,0,1,0,0,0,0,0
Marcouxites,0,0,0,0,0,0,0,0,1,1
Marginalosia,1,0,0,0,0,0,0,0,0,0
Marginifera,1,0,0,0,0,0,0,0,0,0
Marginiferidae,1,0,0,0,0,0,0,0,0,0
Marginiferoidea,1,0,0,0,0,0,0,0,0,0
Marinurnula,1,0,0,0,0,0,0,0,0,0
Marmolatella,0,0,0,0,0,0,1,1,0,1
Martinia,1,1,0,0,0,0,0,0,0,0
Martiniopsis,1,0,0,0,0,0,0,0,0,0
Marwickiella,0,0,0,0,0,0,0,0,0,1
Mathildidae,0,0,0,0,0,0,0,0,0,1
Medlicottiidae,1,0,0,0,0,0,0,0,0,0
Meekella,1,0,0,0,0,0,0,0,0,0
Meekellidae,1,0,0,0,0,0,0,0,0,0
Meekellogeyerella,1,0,0,0,0,0,0,0,0,0
Meekoceras,0,1,1,1,1,0,0,0,0,1
Meekoceratidae,0,0,0,1,0,0,0,0,0,0
Meekophiceras,0,1,1,0,0,0,0,0,0,0
Meekospira,1,0,0,0,0,0,0,0,0,0
Megaceratites,0,0,0,0,0,0,0,1,1,1
Megadesmus,1,0,0,0,1,0,0,0,0,0
Megalodon,0,0,0,0,0,0,1,0,0,0
Megaphyllites,0,0,0,0,1,1,1,1,1,1
Megasteges,1,0,0,0,0,0,0,0,0,0
Megousia,1,0,0,0,0,0,0,0,0,0
Meishanorhynchia,0,1,0,0,0,0,0,0,0,0
Meitianoceras,1,0,0,0,0,0,0,0,0,0
Melagathiceras,0,0,0,1,0,0,0,0,0,0
Melagathiceratidae,0,0,0,1,0,0,0,0,0,0
Melania,0,0,0,0,0,0,0,0,0,1
Meleagrinella,0,0,0,1,1,1,0,0,1,1
Mellarium,0,0,0,0,0,0,0,0,0,1
Menetus,0,0,0,0,1,0,0,0,0,0
Mentzelia,0,0,0,0,1,1,1,1,1,1
Merismopteria,1,0,0,0,0,0,0,0,0,0
Meropella,0,0,0,0,1,0,0,0,0,0
Mesocladiscites,0,0,0,0,0,0,1,0,0,0
Mesohedenstroemia,0,0,1,1,0,0,0,0,0,0
Metadagnoceras,0,0,0,0,1,1,0,0,0,0
Metadinarites,0,0,0,0,0,0,0,0,1,0
Metahedenstroemia,0,0,0,0,1,0,0,0,0,0
Metinyoites,0,0,0,1,0,0,0,0,0,0
Metophiceras,1,1,1,0,1,0,0,0,0,0
Metussuria,0,0,0,1,0,0,0,0,0,0
Mianwaliites,0,0,0,1,0,0,0,0,0,0
Microlampra,1,0,0,0,0,0,0,0,0,0
Micromartinia,1,0,0,0,0,0,0,0,0,0
Mimaria,1,0,0,0,0,0,0,0,0,0
Minersvillites,0,0,0,1,0,0,0,0,0,0
Mingyuexiaceras,1,0,0,0,0,0,0,0,0,0
Minutomarginifera,1,0,0,0,0,0,0,0,0,0
Mirochiliticus,1,0,0,0,0,0,0,0,0,0
Modiola,0,0,0,0,0,0,0,0,1,1
Modiolus,1,1,1,1,1,1,1,1,0,1
Modiomorpha,0,0,0,0,0,0,1,0,0,0
Moenaspira,0,0,0,0,0,0,0,0,1,0
Mogulia,1,0,0,0,0,0,0,0,0,0
Mojsvarites,0,0,0,0,0,0,0,0,1,0
Monacanthites,0,0,0,0,1,0,0,0,0,0
Monneticeras,0,0,0,1,0,0,0,0,0,0
Monophyllites,0,0,0,1,0,1,1,1,1,1
Monotidae,0,0,0,0,0,0,1,0,0,0
Monotis,0,0,0,0,1,0,0,0,1,0
Monticulifera,1,0,0,0,0,0,0,0,0,0
Mullericeras,0,1,1,0,0,0,0,0,0,0
Mullericeratidae,0,1,0,0,0,0,0,0,0,0
Murchisonia,1,0,0,0,1,0,0,1,0,1
Murchisoniidae,1,0,0,0,0,0,0,1,0,0
Murihikua,0,0,0,0,0,0,0,0,0,1
Myacites,0,0,0,0,0,0,0,1,0,0
Myalina,1,1,1,1,1,0,0,1,1,1
Myalinella,1,1,1,1,0,0,0,0,0,0
Myalinidae,1,1,0,0,1,0,0,0,0,0
Myoconcha,0,1,1,0,1,0,1,0,1,1
Myonia,1,0,0,0,0,0,0,0,0,0
Myophoria,1,1,1,1,1,1,0,1,1,1
Myophoriopis,0,0,0,0,0,0,0,0,0,1
Mysidiella,0,0,0,0,0,0,0,0,1,1
Mysidioptera,0,0,0,0,0,0,1,1,1,1
Mytiliconcha,0,0,0,0,0,0,1,0,0,0
Mytilidae,1,0,0,0,0,0,0,0,0,0
Mytilus,0,1,0,1,1,1,1,1,0,1
Nakimusiella,1,0,0,0,0,0,0,0,0,0
Nammalites,0,0,0,1,1,0,0,0,0,0
Nanningites,0,0,1,1,0,0,0,0,0,0
Nannites,0,0,0,1,0,0,0,0,0,0
Natica,1,0,0,0,0,0,0,0,0,1
Naticasinus,1,0,0,0,0,0,0,0,0,0
Naticopsis,1,1,0,1,1,1,1,1,0,1
Natiria,0,0,0,1,1,1,0,0,1,1
Neilsonia,1,0,0,0,0,0,0,0,0,0
Neoaganides,1,0,0,0,0,0,0,0,0,0
Neochonetes,1,1,0,0,0,0,0,0,0,0
Neocladiscites,0,0,0,0,0,0,0,0,1,0
Neocolumbites,0,0,0,0,1,0,0,0,0,0
Neocrimites,1,0,0,0,0,0,0,0,0,0
Neocyrtina,0,0,0,0,0,0,0,1,0,0
Neodonaldina,0,0,0,0,0,0,0,0,0,1
Neogeoceras,1,0,0,0,0,0,0,0,0,0
Neoglassoceras,1,0,0,0,0,0,0,0,0,0
Neomorphotis,0,1,0,1,1,0,1,1,0,1
Neoplicatifera,1,0,0,0,0,0,0,0,0,0
Neopopanoceras,1,0,0,0,1,0,0,0,0,0
Neopsilocamara,1,0,0,0,0,0,0,0,0,0
Neoretzia,0,0,0,0,1,0,0,0,0,1
Neorichthofenia,1,0,0,0,0,0,0,0,0,0
Neoschizodus,1,1,1,1,1,1,1,1,1,1
Neospirifer,1,0,0,0,0,0,0,0,0,0
Neowellerella,1,1,0,0,0,0,0,0,0,0
Neritaria,0,1,0,1,1,0,0,1,0,1
Neritites,0,0,0,0,0,0,0,0,0,1
Neritopsis,0,0,0,0,0,0,0,0,0,1
Netschajewia,1,0,0,0,0,0,0,0,0,0
Nevadisculites,0,0,0,0,0,0,1,1,0,1
Nevadites,0,0,0,0,0,0,0,0,1,1
Newaagia,0,0,0,0,0,0,0,1,1,1
Nicholsites,0,0,0,0,0,0,1,1,0,1
Nicomedites,0,0,0,0,0,1,1,1,0,0
Nikitinia,1,0,0,0,0,0,0,0,0,0
Ninglangella,1,0,0,0,0,0,0,0,0,0
Nisalarinia,1,0,0,0,0,0,0,0,0,0
Nodihungarites,0,0,0,0,0,0,0,0,1,0
Nodocingulum,0,0,0,0,0,0,0,0,1,0
Noetlingiconcha,0,0,0,0,0,0,0,0,0,1
Noetlingites,0,0,0,0,0,0,0,1,0,1
Nordophiceras,0,0,0,1,1,0,0,0,0,0
Nordophiceratoides,0,0,0,0,1,0,0,0,0,0
Norella,0,0,0,0,1,1,1,1,1,1
Norites,0,0,0,0,0,1,1,1,1,1
Notospirifer,1,0,0,0,0,0,0,0,0,0
Notothyrina,1,0,0,0,0,0,0,0,0,0
Notothyris,1,1,0,0,0,0,0,0,0,0
Nucinella,0,1,0,0,0,0,0,0,0,0
Nucleusorhynchia,0,0,0,0,0,1,0,0,0,0
Nucula,0,1,0,0,1,0,0,0,1,1
Nuculana,0,0,0,1,1,0,0,0,1,1
Nuculanella,1,0,0,0,0,0,0,0,0,0
Nuculavus,1,0,0,0,0,0,0,0,0,0
Nuculida,1,0,0,1,0,0,0,0,0,0
Nuculidae,1,0,0,0,0,0,0,0,0,0
Nuculites,1,0,0,0,0,0,0,0,0,0
Nuculoma,0,0,0,0,0,0,0,0,1,0
Nuculopsis,1,1,0,0,0,0,0,0,0,0
Nudirostralina,0,1,0,1,1,1,0,1,1,1
Nudispiriferina,0,0,0,0,0,0,0,1,0,1
Nuetzelia,0,0,0,1,0,0,0,0,0,0
Nyalamites,0,0,0,1,0,0,0,0,0,0
Obnixia,0,0,0,1,1,0,0,0,0,0
Ochotochlamys,0,0,0,0,0,0,1,0,0,0
Ochotomya,0,1,0,0,0,0,0,0,0,0
Ogbinia,1,0,0,0,0,0,0,0,0,0
Oldhamina,1,0,0,0,0,0,0,0,0,0
Olenekoceras,0,0,0,0,1,0,0,0,0,0
Olenikites,0,0,1,0,1,0,0,0,0,0
Omanilasma,1,0,0,0,0,0,0,0,0,0
Omanites,0,0,0,1,0,0,0,0,0,0
Ombonia,1,0,0,0,0,0,0,0,0,0
Omphaloptycha,0,1,1,1,0,1,1,1,1,1
Omphaloptychia,0,0,0,1,1,0,0,1,0,1
Ophiceras,1,1,1,1,0,0,0,0,0,0
Ophiceratidae,0,1,1,0,0,0,0,0,0,0
Ophimullericeras,0,1,0,0,0,0,0,0,0,0
Opinae,0,0,0,0,0,0,0,1,0,0
Opis,0,0,0,0,0,0,0,0,0,1
Orbicoelia,1,1,0,0,0,0,0,0,0,0
Orbiculoidea,1,1,0,1,1,0,0,0,0,1
Oriocrassatella,1,0,0,0,0,0,0,0,0,0
Ornithopecten,1,1,0,1,0,0,1,1,1,1
Ortarhynchia,0,0,0,0,1,1,1,0,0,0
Orthonema,1,0,0,0,0,0,0,0,0,0
Orthotetes,1,0,0,0,0,0,0,0,0,0
Orthotetidae,1,0,0,0,0,0,0,0,0,0
Orthotetoidea,1,0,0,0,0,0,0,0,0,0
Orthothetina,1,0,0,0,0,0,0,0,0,0
Orthothrix,1,0,0,0,0,0,0,0,0,0
Orthotichia,1,1,0,0,0,0,0,0,0,0
Osteomya,0,0,0,0,0,0,0,0,0,1
Ostrea,0,0,0,0,0,0,0,1,0,1
Ostreoidea,0,0,0,0,0,0,0,1,0,0
Otoceras,1,1,1,0,1,0,0,0,0,0
Otoceratidae,0,1,0,0,0,0,0,0,0,0
Owenites,0,0,0,1,0,0,0,0,0,0
Oxycolpella,0,0,0,0,0,0,0,0,0,1
Oxylongobardites,0,0,0,0,0,0,0,0,1,0
Oxytoma,0,0,0,0,1,0,0,0,0,1
Oxyussuria,0,0,0,1,0,0,0,0,0,0
Pachycardia,0,0,0,0,0,0,0,0,0,1
Pachydiscoceras,1,0,0,0,0,0,0,0,0,0
Pachymyonia,1,0,0,0,0,0,0,0,0,0
Pachyomphalus,0,1,0,1,0,0,0,1,0,0
Pachyproptychites,0,1,0,0,0,0,0,0,0,0
Pachyrisma,0,0,0,0,0,0,1,0,0,1
Palaeanodonta,1,0,0,0,0,0,0,0,0,0
Palaeokazachstanites,0,0,0,1,0,0,0,0,0,0
Palaeolima,1,0,1,0,0,0,0,1,0,1
Palaeonarica,0,1,0,0,0,0,0,0,0,0
Palaeoneilo,1,1,0,1,1,0,0,1,1,1
Palaeonucula,1,1,1,0,1,0,0,1,0,1
Palaeophyllites,0,0,0,0,1,0,0,0,1,0
Palaeophyllitidae,0,0,0,1,0,0,0,0,0,0
Palaeostylus,1,0,0,0,0,0,0,0,0,0
Palanatina,1,0,0,0,0,0,0,0,0,0
Panopea,0,0,0,0,0,0,0,0,1,1
Parabrekia,0,0,0,0,0,0,0,1,0,0
Paraceratites,0,0,0,0,0,1,0,1,1,1
Paraceratitoides,0,0,0,0,0,0,0,0,1,0
Parachonetella,1,0,0,0,0,0,0,0,0,0
Paracrochordiceras,0,0,0,0,1,1,0,1,0,1
Paracrurithyris,1,1,0,0,0,0,0,0,0,0
Paradanubites,0,0,0,0,0,1,1,0,0,0
Paradinarites,0,0,0,0,1,0,0,0,0,0
Paradoxipecten,1,0,0,0,0,0,0,0,0,0
Paradoxothyris,0,0,0,0,1,0,0,0,0,0
Parafrechites,0,0,0,0,0,0,0,0,1,1
Paragastrioceratidae,1,0,0,0,0,0,0,0,0,0
Paragoceras,0,0,0,0,1,0,0,0,0,0
Parahedenstroemia,0,0,1,1,0,0,0,0,0,0
Parahungarites,0,0,0,0,0,0,0,0,1,0
Parakellnerites,0,0,0,0,0,0,0,0,1,1
Parakymatites,0,0,0,1,0,0,0,0,0,0
Paralepismatina,0,0,0,0,0,0,0,1,1,1
Parallelodon,1,0,0,1,1,0,1,1,0,1
Paramexicoceras,1,0,0,0,0,0,0,0,0,0
Paranannites,0,0,1,1,1,0,0,0,0,0
Paranannitidae,0,0,0,1,0,0,0,0,0,1
Paranevadites,0,0,0,0,0,0,0,0,1,1
Paranorellina,0,1,0,1,1,0,0,0,0,0
Paranorites,0,1,1,1,0,0,0,0,0,0
Paranoritidae,0,0,0,1,0,0,0,0,0,0
Paranoritoides,0,0,0,0,1,0,0,0,0,0
Parantiptychia,0,0,0,0,0,0,0,0,0,1
Paranudirostralina,0,0,0,0,0,1,0,0,0,0
Paraorthotetina,1,0,0,0,0,0,0,0,0,0
Parapopanoceras,0,0,0,0,0,1,1,1,1,1
Parapopanoceratidae,0,0,0,0,0,0,0,0,0,1
Parapulchratia,1,0,0,0,0,0,0,0,0,0
Parapygmochonetes,1,0,0,0,0,0,0,0,0,0
Parasageceras,0,0,0,0,1,0,1,0,0,1
